date,is_boarded,fire,homeless,address,zip_code,ward,community_area,geometry,PRI_NEIGH
2015-10-05,0,0,1,6051 S dr martin luther king jr dr,60637,20,42,"c(-87.6157359503655, 41.7847641868137)",Woodlawn
2015-08-26,0,0,0,2905 E 91st st,60617,7,46,"c(-87.5538233266839, 41.7300440321922)",South Chicago
2017-03-29,0,0,0,119 N long ave,60644,28,25,"c(-87.7602115977375, 41.8828516742313)",Austin
2016-09-07,1,0,0,4035 N richmond st,60618,33,16,"c(-87.7019251607926, 41.9545970314929)",Irving Park
2016-11-04,1,0,1,5922 S wolcott ave,60636,15,67,"c(-87.6716608956875, 41.7862529098312)",Englewood
2017-03-11,0,0,0,1236 W 96th st,60643,21,73,"c(-87.6537753077587, 41.7191943183815)",Washington Heights
2016-03-20,0,0,1,12033 S wentworth ave,60628,9,53,"c(-87.6273838080318, 41.6751755259469)",West Pullman
2015-01-21,0,1,1,2321 W fullerton ave,60647,32,22,"c(-87.6860657867235, 41.9249200524567)",Bucktown
2015-12-08,0,0,0,6751 S winchester ave,60636,16,67,"c(-87.6724831265197, 41.7712135138688)",Englewood
2015-11-01,0,0,1,7341 S princeton ave,60621,6,69,"c(-87.6321090399594, 41.7610045923642)",Grand Crossing
2015-11-29,0,0,1,1121 W 37th st,60609,11,60,"c(-87.6541071324584, 41.8269760168817)",Bridgeport
2017-04-27,0,0,1,7148 S honore st,60636,17,67,"c(-87.6698628177651, 41.7639628717859)",Englewood
2016-03-15,0,0,1,4244 W west end ave,60624,28,26,"c(-87.7317438846224, 41.8832912641971)",Garfield Park
2017-04-17,0,0,1,4045 W carroll ave,60624,28,26,"c(-87.7269583026269, 41.8868158933968)",Garfield Park
2016-07-20,0,0,0,6453 S wood st,60636,15,67,"c(-87.6690209299029, 41.7766149614081)",Englewood
2016-04-04,0,0,1,2845 W 51st st,60632,14,63,"c(-87.6957987557125, 41.8009582392625)",Gage Park
2015-05-16,0,0,0,4301 S christiana ave,60632,14,58,"c(-87.7079372055396, 41.8153794566739)",Brighton Park
2015-11-13,0,0,0,9236 S clyde ave,60617,7,48,"c(-87.573044159803, 41.7273076942953)",Calumet Heights
2016-11-08,0,1,0,6457 S sangamon st,60621,16,68,"c(-87.6483549834687, 41.7768296616502)",Englewood
2015-08-27,0,0,0,12834 S parnell ave,60628,9,53,"c(-87.6353284320123, 41.6605448162229)",West Pullman
2017-03-11,0,0,0,6409 S paulina st,60636,15,67,"c(-87.6666323796636, 41.7773505958353)",Englewood
2015-03-16,0,0,0,531 W 60th st,60621,20,68,"c(-87.6388371897321, 41.7852486174369)",Englewood
2017-03-01,0,0,1,2646 W lithuanian plaza ct,60629,17,66,"c(-87.6897100044018, 41.768231975381)",Chicago Lawn
2016-06-06,0,0,1,50 W garfield blvd,60609,3,40,"c(-87.6270784334145, 41.7946262562339)",Washington Park
2017-04-12,1,1,0,2149 E 79th st,60649,8,46,"c(-87.5720157571344, 41.751657072096)",South Shore
2015-11-06,0,0,0,7116 S princeton ave,60621,6,69,"c(-87.6322062721373, 41.7651023433708)",Grand Crossing
2017-04-28,0,0,0,3043 S troy st,60623,12,30,"c(-87.7036292988223, 41.8382826865548)",Little Village
2016-04-25,0,0,1,6030 S st lawrence ave,60637,20,42,"c(-87.6109076530807, 41.7852365068248)",Woodlawn
2015-11-05,0,0,1,7508 S honore st,60620,17,71,"c(-87.669697237636, 41.7573019440917)",Auburn Gresham
2016-02-16,0,0,0,8215 S maryland ave,60619,8,44,"c(-87.6038095410746, 41.7455352826823)",Chatham
2017-03-05,0,0,0,119 W 109th st,60628,34,49,"c(-87.6260600986768, 41.6961939790876)",Roseland
2015-12-07,0,0,1,8807 S aberdeen st,60620,21,71,"c(-87.6508609907913, 41.7339409820204)",Auburn Gresham
2015-08-07,0,0,0,5700 S seeley ave,60636,15,67,"c(-87.6754140517932, 41.7902567364574)",Englewood
2016-09-14,0,0,1,8450 S exchange ave,60617,10,46,"c(-87.5526823008571, 41.7428697420246)",South Chicago
2016-06-17,0,0,0,6421 S evans ave,60637,20,42,"c(-87.6071419958251, 41.7781886337154)",Woodlawn
2017-03-17,0,0,1,2145 W pershing rd,60609,12,61,"c(-87.6788357233122, 41.8230621710799)",Mckinley Park
2015-12-20,0,0,0,6545 S marshfield ave,60636,15,67,"c(-87.66536505027, 41.7749889709441)",Englewood
2016-08-23,0,0,1,8725 S carpenter st,60620,21,71,"c(-87.649691861703, 41.7355254604272)",Auburn Gresham
2017-07-06,0,0,0,3547 N paris ave,60634,38,17,"c(-87.8302525158855, 41.9438231988379)",Dunning
2016-07-19,0,1,0,539 N spaulding ave,60624,27,23,"c(-87.7088565534653, 41.8909068081013)",Humboldt Park
2015-11-02,0,0,0,8057 S stewart ave,60620,17,44,"c(-87.6342258708106, 41.7479141721686)",Chatham
2016-03-23,0,0,0,5005 W drummond pl,60639,31,19,"c(-87.7515218441576, 41.9287488423225)",Belmont Cragin
2015-11-14,0,0,1,3923 W van buren st,60624,28,26,"c(-87.7236074956262, 41.8752906830982)",Garfield Park
2016-07-27,0,0,1,11334 S racine ave,60643,34,75,"c(-87.651959117509, 41.6875912137661)",Morgan Park
2015-10-14,0,0,0,10657 S avenue l,60617,10,52,"c(-87.5364916653201, 41.7016949822912)",East Side
2015-09-28,0,0,1,7615 S wabash ave,60619,6,69,"c(-87.6231058249718, 41.7561675268088)",Grand Crossing
2016-07-18,0,1,0,8029 S loomis blvd,60620,21,71,"c(-87.6585268191401, 41.748073630443)",Auburn Gresham
2016-08-11,0,0,1,2755 W wilson ave,60625,33,14,"c(-87.697752426242, 41.9647826597898)",Albany Park
2015-01-20,0,0,1,5225 W warwick ave,60641,38,15,"c(-87.7576261040219, 41.9487311000537)",Portage Park
2017-02-06,0,1,1,13039 S baltimore ave,60633,10,55,"c(-87.5471334550096, 41.6584387821069)",Hegewisch
2015-01-30,0,1,0,2607 W 81st st,60652,18,70,"c(-87.6880394238524, 41.7463797777008)",Ashburn
2015-10-11,0,1,0,9354 S elizabeth st,60620,21,73,"c(-87.6542289945525, 41.723977717163)",Washington Heights
2015-06-16,0,0,1,212 N latrobe ave,60644,28,25,"c(-87.7564420894932, 41.8845832160289)",Austin
2015-05-01,0,0,0,125 E 111th st,60628,9,49,"c(-87.6200684283512, 41.6926222742107)",Roseland
2016-03-16,0,0,1,10601 S la salle st,60628,34,49,"c(-87.6269345183963, 41.7015199813808)",Roseland
2017-01-04,0,0,0,1135 N springfield ave,60651,37,23,"c(-87.7238295793651, 41.9015128605057)",Humboldt Park
2015-05-23,0,0,0,2022 W 68th pl,60636,16,67,"c(-87.6741870268897, 41.7693491113791)",Englewood
2015-09-30,1,0,1,5517 S union ave,60621,20,68,"c(-87.6427118736454, 41.7937261579253)",Englewood
2017-05-04,0,0,0,7038 S michigan ave,60637,6,69,"c(-87.621722202853, 41.76670032085)",Grand Crossing
2017-03-01,1,0,0,6308 N central ave,60646,39,12,"c(-87.7641792224118, 41.9962342282499)","Sauganash,Forest Glen"
2016-03-11,0,0,1,7700 S oglesby ave,60649,7,43,"c(-87.5675186905441, 41.7553462961138)",South Shore
2015-06-13,1,0,0,7710 S avalon ave,60619,8,45,"c(-87.5943539263923, 41.7548603829751)",Avalon Park
2017-04-04,0,0,0,2441 W lithuanian plaza ct,60629,17,66,"c(-87.6847270471146, 41.7683128211016)",Chicago Lawn
2015-06-04,0,0,0,134 W 113th pl,60628,34,49,"c(-87.6264029875438, 41.6880031610654)",Roseland
2015-11-24,0,0,0,8518 S ingleside ave,60619,8,44,"c(-87.6012806906837, 41.7400225646679)",Chatham
2017-01-17,0,0,0,1619 S karlov ave,60623,24,29,"c(-87.7273829335204, 41.8584838697342)",North Lawndale
2017-03-24,1,1,0,5524 W cortez st,60651,37,25,"c(-87.7641713357042, 41.8994228909888)",Austin
2016-06-05,1,0,0,957 W 116th pl,60643,34,53,"c(-87.6461667608401, 41.6823566408958)",West Pullman
2016-09-28,1,0,0,2541 W 63rd st,60629,16,66,"c(-87.6874687598848, 41.7792022634536)",Chicago Lawn
2016-07-28,0,0,0,410 W englewood ave,60621,20,68,"c(-87.6353145438565, 41.7808372591881)",Englewood
2016-10-25,0,0,1,740 E 61st st,60637,20,42,"c(-87.6071154535228, 41.7840360293427)",Woodlawn
2016-05-13,0,0,0,13526 S buffalo ave,60633,10,55,"c(-87.5435152872777, 41.6495443467658)",Hegewisch
2016-07-06,0,0,0,11410 S racine ave,60643,34,75,"c(-87.6519246094352, 41.6864211474613)",Morgan Park
2016-01-13,0,0,0,750 E 103rd pl,60628,9,50,"c(-87.6067199809368, 41.7065090661924)",Pullman
2015-04-18,0,0,1,1526 E 76th pl,60619,5,43,"c(-87.5872450402342, 41.7560129026559)",South Shore
2016-04-02,0,0,0,606 W 48th pl,60609,11,61,"c(-87.640874611486, 41.806217736977)",New City
2015-07-28,0,0,0,6010 S tripp ave,60629,13,65,"c(-87.729015592667, 41.7838710846997)",West Lawn
2016-06-20,0,0,0,6215 S claremont ave,60636,16,66,"c(-87.6823790552971, 41.7807654036002)",Chicago Lawn
2015-10-08,0,0,0,8033 S vincennes ave,60620,17,44,"c(-87.6348522231482, 41.7483420755154)",Chatham
2015-06-03,0,0,0,3045 W 54th st,60632,14,63,"c(-87.6998394381087, 41.795407763477)",Gage Park
2017-01-24,0,0,1,5528 S carpenter st,60621,16,68,"c(-87.6512109739736, 41.7934411074642)",Englewood
2015-08-06,1,0,0,531 W 44th st,60609,11,61,"c(-87.6396029291913, 41.8144580879394)",New City
2016-05-18,0,0,0,6741 S racine ave,60636,16,68,"c(-87.6542897556176, 41.7715797947846)",Englewood
2017-06-02,0,0,0,8522 S escanaba ave,60617,10,46,"c(-87.5539166031601, 41.7405839544416)",South Chicago
2017-03-30,0,0,1,734 W 117th st,60628,34,53,"c(-87.640647471486, 41.6818500605602)",West Pullman
2017-07-01,0,0,0,1313 E hyde park blvd,60615,4,41,"c(-87.5946045736294, 41.8023904092617)",Hyde Park
2016-10-17,1,0,1,1249 W 73rd pl,60636,17,67,"c(-87.6555971299847, 41.7604846895665)",Englewood
2015-07-07,0,0,1,2425 N avers ave,60647,31,22,"c(-87.7231177758696, 41.9249926492217)",Logan Square
2017-01-26,0,0,1,6407 S winchester ave,60636,15,67,"c(-87.6726507848924, 41.7774105835232)",Englewood
