date,is_boarded,fire,homeless,address,zip_code,ward,community_area,latitude,longitude
2018-11-23,1,0,1,7246 S hermitage ave,60636,17,67,41.7622055497303,-87.66738705572556
2018-04-24,0,0,1,3546 W 13th pl,60623,24,29,41.86409633820109,-87.71404922404945
2018-11-23,0,0,0,1559 S homan ave,60623,24,29,41.85976764874017,-87.71035484119507
2018-04-24,1,1,0,6540 S sangamon st,60621,6,68,41.775322810167516,-87.64831565914622
2018-04-16,0,0,0,7941 S maryland ave,60619,8,44,41.750544156711804,-87.60394714475488
2018-04-24,0,0,1,9300 S jeffery ave,60617,8,48,41.72611567183253,-87.5754459146464
2018-04-24,0,0,0,4838 S forrestville ave,60615,3,38,41.806925526252876,-87.61261289842548
2018-11-23,0,0,1,3651 W ohio st,60624,27,23,41.891772519357865,-87.71777262984298
2018-11-23,0,0,0,7203 S paulina st,60636,17,67,41.76300749647648,-87.66619555203359
2018-11-23,1,0,0,7821 S yates blvd,60649,7,43,41.75316045524389,-87.5662611756555
2018-04-24,0,1,0,6714 S carpenter st,60621,16,68,41.772128147319876,-87.65066107053367
2018-11-23,0,0,1,2545 S homan ave,60623,12,30,41.84543804067746,-87.70993722354665
2018-04-24,0,0,1,610 E 75th st,60619,6,69,41.75849581768013,-87.60986586676387
2018-11-23,0,0,1,8541 S marshfield ave,60620,21,71,41.73866310207182,-87.6643555288831
2018-11-24,0,1,1,402 S kostner ave,60624,28,26,41.87512537691076,-87.73528316807102
2018-11-24,0,0,0,10100 S avenue m ,60617,10,52,41.71195398299914,-87.53769418953479
2018-11-24,0,0,0,10000 S hoyne ave,60643,19,72,41.71195093871125,-87.6745281481236
2018-11-24,0,0,1,2527 S troy st,60623,12,30,41.845853712111364,-87.703846977482
2018-11-24,0,0,1,7500 S kenwood ave,60619,5,43,41.75871376135782,-87.59201274867395
2018-11-25,0,0,1,7029 S vernon ave,60637,6,69,41.76701490080574,-87.61408629094146
2018-04-25,1,0,0,1948 S christiana ave,60623,24,29,41.854501485839364,-87.70898573420514
2018-11-25,0,0,1,5616 S homan ave,60629,14,63,41.79133119939731,-87.70839879275655
2018-11-25,0,0,1,7033 S vernon ave,60637,6,69,41.76694161947711,-87.61408491008805
2018-11-25,0,0,0,1529 S st louis ave,60623,24,29,41.86029435457606,-87.71280784077992
2018-04-25,0,0,1,2822 W 25th st,60623,12,30,41.846443886397495,-87.69582224506904
2018-11-25,0,0,0,8020 S loomis blvd,60620,21,71,41.74823913641997,-87.65853094919207
2018-11-25,0,0,0,6609 S seeley ave,60636,16,67,41.77371110529363,-87.674974255705
2018-04-11,0,0,1,2235 S sacramento ave,60623,12,30,41.8511942229849,-87.7003418746866
2018-04-25,0,0,0,5017 S aberdeen st,60609,20,61,41.80299250967283,-87.65266709015366
